[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],[US 1120 Balance Sheet_Name],[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
7970,REVERSION DET.CDTOS LP(GRUPO),REVERSION DET.CDTOS LP(GRUPO),Revenue,,,Yes,,797,,,,,,,,,,
7971,REVERSION DET.CDTOS LP(ASOC),REVERSION DET.CDTOS LP(ASOC),Revenue,,,Yes,,797,,,,,,,,,,
7972,REVERSION DET.CDTOS LP(O.P.V),REVERSION DET.CDTOS LP(O.P.V),Revenue,,,Yes,,797,,,,,,,,,,
7973,REVERSION DET.CDTOS LP(OTRAS),REVERSION DET.CDTOS LP(OTRAS),Revenue,,,Yes,,797,,,,,,,,,,
7980,REV.DET.PART.INSTR.PN.CP(GR),REV.DET.PART.INSTR.PN.CP(GR),Revenue,,,Yes,,798,,,,,,,,,,
7981,REV.DET.PART.INSTR.PN.CP(AS),REV.DET.PART.INSTR.PN.CP(AS),Revenue,,,Yes,,798,,,,,,,,,,
7985,REV.DET.VAL.REPR.DEUD.CP(GR),REV.DET.VAL.REPR.DEUD.CP(GR),Revenue,,,Yes,,798,,,,,,,,,,
7986,REV.DET.VAL.REPR.DEUD.CP(AS),REV.DET.VAL.REPR.DEUD.CP(AS),Revenue,,,Yes,,798,,,,,,,,,,
7987,REV.DET.VAL.REPR.DEUD.CP(OPV),REV.DET.VAL.REPR.DEUD.CP(OPV),Revenue,,,Yes,,798,,,,,,,,,,
7988,REV.DET.VAL.REPR.DEUD.CP(OT),REV.DET.VAL.REPR.DEUD.CP(OT),Revenue,,,Yes,,798,,,,,,,,,,
7990,REVERSION DET.CDTOS CP(GRUPO),REVERSION DET.CDTOS CP(GRUPO),Revenue,,,Yes,,799,,,,,,,,,,
7991,REVERSION DET.CDTOS CP(ASOC),REVERSION DET.CDTOS CP(ASOC),Revenue,,,Yes,,799,,,,,,,,,,
7992,REVERSION DET.CDTOS CP(O.P.V),REVERSION DET.CDTOS CP(O.P.V),Revenue,,,Yes,,799,,,,,,,,,,
7993,REVERSION DET.CDTOS CP(OTRAS),REVERSION DET.CDTOS CP(OTRAS),Revenue,,,Yes,,799,,,,,,,,,,
10000,CAPITAL SOCIAL,CAPITAL SOCIAL,Owner's Equity,,,No,,1000,,,,,,,,,,
10100,FONDO SOCIAL,FONDO SOCIAL,Owner's Equity,,,No,,1010,,,,,,,,,,
10200,CAPITAL,CAPITAL,Owner's Equity,,,No,,1020,,,,,,,,,,
10300,SOCIOS DESEMB.NO EXIG.CAP.SOC.,SOCIOS DESEMB.NO EXIG.CAP.SOC.,Owner's Equity,,,No,,1030,,,,,,,,,,
10340,SOC.DESEMB.NO EX.CAP.PDTE.INSC,SOC.DESEMB.NO EX.CAP.PDTE.INSC,Owner's Equity,,,No,,1034,,,,,,,,,,
10400,SOC.APORT.NO DIN.PEND.CAP.SOC,SOC.APORT.NO DIN.PEND.CAP.SOC,Owner's Equity,,,No,,1040,,,,,,,,,,
10440,SOC.AP.NO DIN.PEND.CAP.PD.INSC,SOC.AP.NO DIN.PEND.CAP.PD.INSC,Owner's Equity,,,No,,1044,,,,,,,,,,
10800,ACC.O PART.PROPIAS SIT.ESPEC.,ACC.O PART.PROPIAS SIT.ESPEC.,Owner's Equity,,,No,,1080,,,,,,,,,,
10900,ACC.O PART.PROPIAS REDUC.K,ACC.O PART.PROPIAS REDUC.K,Owner's Equity,,,No,,1090,,,,,,,,,,
11000,PRIMA DE EMISION O ASUNCION,PRIMA DE EMISION O ASUNCION,Owner's Equity,,,No,,1100,,,,,,,,,,
11100,PATR.NET.EMIS.INST.FIN.COMP.,PATR.NET.EMIS.INST.FIN.COMP.,Owner's Equity,,,No,,1110,,,,,,,,,,
11110,RESTO INSTR.PATRIMONIO NETO,RESTO INSTR.PATRIMONIO NETO,Owner's Equity,,,No,,1111,,,,,,,,,,
11200,RESERVA LEGAL,RESERVA LEGAL,Owner's Equity,,,No,,1120,,,,,,,,,,
11300,RESERVAS VOLUNTARIAS,RESERVAS VOLUNTARIAS,Owner's Equity,,,No,,1130,,,,,,,,,,
11400,RESERVAS AC/PT.S.DOMIN.,RESERVAS AC/PT.S.DOMIN.,Owner's Equity,,,No,,1140,,,,,,,,,,
11401,RESERVAS AC/PT.S.DOMIN.GAR.,RESERVAS AC/PT.S.DOMIN.GAR.,Owner's Equity,,,No,,1140,,,,,,,,,,
11410,RESERVAS ESTATUTARIAS,RESERVAS ESTATUTARIAS,Owner's Equity,,,No,,1141,,,,,,,,,,
11420,RESERVAS CAPITAL AMORTIZADO,RESERVAS CAPITAL AMORTIZADO,Owner's Equity,,,No,,1142,,,,,,,,,,
11430,RESERVA POR FONDO DE COMERCIO,RESERVA POR FONDO DE COMERCIO,Owner's Equity,,,No,,1143,,,,,,,,,,
11440,RESERVAS ACC.PROPIAS ACEP.GAR,RESERVAS ACC.PROPIAS ACEP.GAR,Owner's Equity,,,No,,1144,,,,,,,,,,
11450,OTRAS RESERVAS ESPECIALES,OTRAS RESERVAS ESPECIALES,Owner's Equity,,,No,,1145,,,,,,,,,,
11451,RESERVA REVALORIZ. RD 7/96,RESERVA REVALORIZ. RD 7/96,Owner's Equity,,,No,,1145,,,,,,,,,,
11800,APORT.SOCIOS O PROPIETARIOS,APORT.SOCIOS O PROPIETARIOS,Owner's Equity,,,No,,1180,,,,,,,,,,
11810,OT.SUBV/DONAC/LEG.(SOC/PROP),OT.SUBV/DONAC/LEG.(SOC/PROP),Owner's Equity,,,No,,1181,,,,,,,,,,
11900,DIF.POR AJUSTE DEL K A EUROS,DIF.POR AJUSTE DEL K A EUROS,Owner's Equity,,,No,,1190,,,,,,,,,,
12000,REMANENTE,REMANENTE,Owner's Equity,,Yes,No,RETAINEDEARNING_ACCT,1200,,,,,,,,,,
12100,RTDOS NEGAT.EJERC.ANTERIORES,RTDOS NEGAT.EJERC.ANTERIORES,Owner's Equity,,,No,,1210,,,,,,,,,,
12900,RESULTADO DEL EJERCICIO,RESULTADO DEL EJERCICIO,Owner's Equity,,Yes,No,INCOMESUMMARY_ACCT,1290,,,,,,,,,,
13000,SUBVENCIONES OFICIALES DE,SUBVENCIONES OFICIALES DE,Owner's Equity,,,No,,1300,,,,,,,,,,
13100,DONACIONES Y LEGADOS DE,DONACIONES Y LEGADOS DE,Owner's Equity,,,No,,1310,,,,,,,,,,
13200,OTRAS SUBV.DONAC.Y LEGADOS,OTRAS SUBV.DONAC.Y LEGADOS,Owner's Equity,,,No,,1320,,,,,,,,,,
13700,ING.FISC.DIF.PERM.DIST.V.EJC.,ING.FISC.DIF.PERM.DIST.V.EJC.,Owner's Equity,,,No,,1370,,,,,,,,,,
13710,ING.FISC.DED/BONF.DIST.V.EJC.,ING.FISC.DED/BONF.DIST.V.EJC.,Owner's Equity,,,No,,1371,,,,,,,,,,
14100,PROVISION PARA IMPUESTOS,PROVISION PARA IMPUESTOS,Liability,,,No,,1410,,,,,,,,,,
14200,PROV.PARA OTRAS RESPONSAB.,PROV.PARA OTRAS RESPONSAB.,Liability,,,No,,1420,,,,,,,,,,
14300,PROV.DESMT.RETIRO/REHB.INMOV.,PROV.DESMT.RETIRO/REHB.INMOV.,Liability,,,No,,1430,,,,,,,,,,
14500,PROV.ACT.MEDIOAMBIENTALES,PROV.ACT.MEDIOAMBIENTALES,Liability,,,No,,1450,,,,,,,,,,
15000,ACC/PART.LP CONSID.PASIVO FIN.,ACC/PART.LP CONSID.PASIVO FIN.,Liability,,,No,,1500,,,,,,,,,,
15330,DESEMB.NO EXIGIDOS (GRUPO),DESEMB.NO EXIGIDOS (GRUPO),Liability,,,No,,1533,,,,,,,,,,
15340,DESEMB.NO EXIGIDOS (ASOC),DESEMB.NO EXIGIDOS (ASOC),Liability,,,No,,1534,,,,,,,,,,
15350,DESEMB.NO EXIGIDOS (O.P.V),DESEMB.NO EXIGIDOS (O.P.V),Liability,,,No,,1535,,,,,,,,,,
15360,OTROS DESEMBOLSOS NO EXIG.,OTROS DESEMBOLSOS NO EXIG.,Liability,,,No,,1536,,,,,,,,,,
15430,APORT.NO DIN.PDTES (GRUPO),APORT.NO DIN.PDTES (GRUPO),Liability,,,No,,1543,,,,,,,,,,
15440,APORT.NO DIN.PDTES (ASOC),APORT.NO DIN.PDTES (ASOC),Liability,,,No,,1544,,,,,,,,,,
15450,APORT.NO DIN.PDTS (O.P.V),APORT.NO DIN.PDTS (O.P.V),Liability,,,No,,1545,,,,,,,,,,
15460,OTRAS APORT.NO DIN.PDTES,OTRAS APORT.NO DIN.PDTES,Liability,,,No,,1546,,,,,,,,,,
16030,DEUDAS LP ENT.CREDITO (GRUPO),DEUDAS LP ENT.CREDITO (GRUPO),Liability,,,No,,1603,,,,,,,,,,
16031,DEUDAS LP EFEC.DESCON.(GRUPO),DEUDAS LP EFEC.DESCON.(GRUPO),Liability,,,No,,1603,,,,,,,,,,
16039,INTER.DEUD.LP ENT.CDTO.GRUPO,INTER.DEUD.LP ENT.CDTO.GRUPO,Liability,,,No,,1603,,,,,,,,,,
16040,DEUDAS LP ENT.CREDITO (ASOC),DEUDAS LP ENT.CREDITO (ASOC),Liability,,,No,,1604,,,,,,,,,,
16041,DEUDAS LP EFEC.DESCON.(ASOC),DEUDAS LP EFEC.DESCON.(ASOC),Liability,,,No,,1604,,,,,,,,,,
16049,INTER.DEUD.LP ENT.CDTO.ASOC.,INTER.DEUD.LP ENT.CDTO.ASOC.,Liability,,,No,,1604,,,,,,,,,,
16050,DEUDAS LP ENT.CREDITO (O.P.V),DEUDAS LP ENT.CREDITO (O.P.V),Liability,,,No,,1605,,,,,,,,,,
16051,DEUDAS LP EFEC.DESCON.(O.P.V),DEUDAS LP EFEC.DESCON.(O.P.V),Liability,,,No,,1605,,,,,,,,,,
16059,INTER.DEUD.LP ENT.CDTO.O.P.V,INTER.DEUD.LP ENT.CDTO.O.P.V,Liability,,,No,,1605,,,,,,,,,,
16130,PROV.INMOV.LP(GRUPO),PROV.INMOV.LP(GRUPO),Liability,,,No,,1613,,,,,,,,,,
16140,PROV.INMOV.LP(ASOC),PROV.INMOV.LP(ASOC),Liability,,,No,,1614,,,,,,,,,,
16150,PROV.INMOV.LP(O.P.V),PROV.INMOV.LP(O.P.V),Liability,,,No,,1615,,,,,,,,,,
16230,ACR.ARREND.FINANC.LP. GRUPO,ACR.ARREND.FINANC.LP. GRUPO,Liability,,,No,,1623,,,,,,,,,,
16239,INTER.LP ACR.ARR.FIN.GRUPO,INTER.LP ACR.ARR.FIN.GRUPO,Liability,,,No,,1623,,,,,,,,,,
16240,ACREED.ARREND.FINANC.LP.ASOC.,ACREED.ARREND.FINANC.LP.ASOC.,Liability,,,No,,1624,,,,,,,,,,
16249,INTER.LP ACR.ARR.FIN.ASOC.,INTER.LP ACR.ARR.FIN.ASOC.,Liability,,,No,,1624,,,,,,,,,,
16250,ACREED.ARREND.FINANC.LP.O.P.V,ACREED.ARREND.FINANC.LP.O.P.V,Liability,,,No,,1625,,,,,,,,,,
16259,INTER.LP ACR.ARR.FIN.O.P.V,INTER.LP ACR.ARR.FIN.O.P.V,Liability,,,No,,1625,,,,,,,,,,
16330,OTRAS DEUDAS LP (GR),OTRAS DEUDAS LP (GR),Liability,,,No,,1633,,,,,,,,,,
16331,DEUDAS LP TR.SUBV/DON/LEG GR.,DEUDAS LP TR.SUBV/DON/LEG GR.,Liability,,,No,,1633,,,,,,,,,,
16339,INTERESES LP OTR.DEUDAS GRUPO,INTERESES LP OTR.DEUDAS GRUPO,Liability,,,No,,1633,,,,,,,,,,
16340,OT.DEUDAS LP (ASOC),OT.DEUDAS LP (ASOC),Liability,,,No,,1634,,,,,,,,,,
16341,DEUDAS LP TR.SUBV/DON/LEG AS.,DEUDAS LP TR.SUBV/DON/LEG AS.,Liability,,,No,,1634,,,,,,,,,,
16349,INTERESES LP OTR.DEUDAS ASOC.,INTERESES LP OTR.DEUDAS ASOC.,Liability,,,No,,1634,,,,,,,,,,
16350,OT.DEUD.LP.OTRAS PART.VINC.,OT.DEUD.LP.OTRAS PART.VINC.,Liability,,,No,,1635,,,,,,,,,,
16351,DEUDAS LP TR.SUBV/DON/LEG OPV,DEUDAS LP TR.SUBV/DON/LEG OPV,Liability,,,No,,1635,,,,,,,,,,
16359,INTERESES LP OTR.DEUDAS O.P.V,INTERESES LP OTR.DEUDAS O.P.V,Liability,,,No,,1635,,,,,,,,,,
16430,EFECTOS A PAGAR LP.GRUPO,EFECTOS A PAGAR LP.GRUPO,Liability,,,No,,1643,,,,,,,,,,
16440,EFECTOS A PAGAR LP.ASOC.,EFECTOS A PAGAR LP.ASOC.,Liability,,,No,,1644,,,,,,,,,,
16450,EFECTOS A PAGAR LP.O.P.V,EFECTOS A PAGAR LP.O.P.V,Liability,,,No,,1645,,,,,,,,,,
16530,PASIV.DERIV.FIN.LP.GRUPO,PASIV.DERIV.FIN.LP.GRUPO,Liability,,,No,,1653,,,,,,,,,,
16537,INTERES. LP PAS.DER.FIN. GRUPO,INTERES. LP PAS.DER.FIN. GRUPO,Liability,,,No,,1653,,,,,,,,,,
16540,PASIVOS DERIV.FINANC.LP. ASOC.,PASIVOS DERIV.FINANC.LP. ASOC.,Liability,,,No,,1654,,,,,,,,,,
16547,INTERES.LP PAS.DER.FIN. ASOC.,INTERES.LP PAS.DER.FIN. ASOC.,Liability,,,No,,1654,,,,,,,,,,
16550,PASIVOS DERIV.FINANC.LP. O.P.V,PASIVOS DERIV.FINANC.LP. O.P.V,Liability,,,No,,1655,,,,,,,,,,
16557,INTERES.LP PAS.DER.FIN. O.P.V,INTERES.LP PAS.DER.FIN. O.P.V,Liability,,,No,,1655,,,,,,,,,,
16630,OBLIGACIONES Y BONOS. GRUPO,OBLIGACIONES Y BONOS. GRUPO,Liability,,,No,,1663,,,,,,,,,,
16640,OBLIGACIONES Y BONOS. ASOC.,OBLIGACIONES Y BONOS. ASOC.,Liability,,,No,,1664,,,,,,,,,,
16650,OBLIGACIONES Y BONOS. O.P.V.,OBLIGACIONES Y BONOS. O.P.V.,Liability,,,No,,1665,,,,,,,,,,
16830,DEUDAS REPR.OTR.VAL.NEG.GRUPO,DEUDAS REPR.OTR.VAL.NEG.GRUPO,Liability,,,No,,1683,,,,,,,,,,
16839,INTERESES LP OB/O.VAL.NEG.GR.,INTERESES LP OB/O.VAL.NEG.GR.,Liability,,,No,,1683,,,,,,,,,,
16840,DEUDAS REPR.OTR.VAL.NEG.ASOC.,DEUDAS REPR.OTR.VAL.NEG.ASOC.,Liability,,,No,,1684,,,,,,,,,,
16849,INTERESES LP OB/O.VAL.NEG.ASO.,INTERESES LP OB/O.VAL.NEG.ASO.,Liability,,,No,,1684,,,,,,,,,,
16850,DEUDAS REPR.OTR.VAL.NEG.O.P.V,DEUDAS REPR.OTR.VAL.NEG.O.P.V,Liability,,,No,,1685,,,,,,,,,,
16859,INTERESES LP OB/O.VAL.NEG.OPV,INTERESES LP OB/O.VAL.NEG.OPV,Liability,,,No,,1685,,,,,,,,,,
16903,FIANZAS RECIBIDAS LP.GRUPO,FIANZAS RECIBIDAS LP.GRUPO,Liability,,,No,,1690,,,,,,,,,,
16904,FIANZAS RECIBIDAS LP.ASOC.,FIANZAS RECIBIDAS LP.ASOC.,Liability,,,No,,1690,,,,,,,,,,
16905,FIANZAS RECIBIDAS LP.O.P.V,FIANZAS RECIBIDAS LP.O.P.V,Liability,,,No,,1690,,,,,,,,,,
16913,ANTIC.REC.VENTAS PR.SERV.LP.GR,ANTIC.REC.VENTAS PR.SERV.LP.GR,Liability,,,No,,1691,,,,,,,,,,
16914,ANTIC.REC.VENTAS PR.SERV.LP.AS,ANTIC.REC.VENTAS PR.SERV.LP.AS,Liability,,,No,,1691,,,,,,,,,,
16915,ANTIC.REC.VENTAS PR.SER.LP.OPV,ANTIC.REC.VENTAS PR.SER.LP.OPV,Liability,,,No,,1691,,,,,,,,,,
16953,DEPÃâSITOS RECIBIDOS LP.GRUPO,DEPÃâSITOS RECIBIDOS LP.GRUPO,Liability,,,No,,1695,,,,,,,,,,
16954,DEPÃâSITOS RECIBIDOS LP.ASOC.,DEPÃâSITOS RECIBIDOS LP.ASOC.,Liability,,,No,,1695,,,,,,,,,,
16955,DEPÃâSITOS RECIBIDOS LP.O.P.V,DEPÃâSITOS RECIBIDOS LP.O.P.V,Liability,,,No,,1695,,,,,,,,,,
17000,DEUDAS LP ENTID.CRDTO,DEUDAS LP ENTID.CRDTO,Liability,,,No,,1700,,,,,,,,,,
17010,DEUD.LP ENT.CRDTO.EFEC.DSCNT.,DEUD.LP ENT.CRDTO.EFEC.DSCNT.,Liability,,,No,,1701,,,,,,,,,,
17090,INTERESES LP ENTID.CRDTO,INTERESES LP ENTID.CRDTO,Liability,,,No,,1709,,,,,,,,,,
17100,DEUDAS A LARGO PLAZO,DEUDAS A LARGO PLAZO,Liability,,,No,,1710,,,,,,,,,,
17190,INTERESES LP. OTRAS DEUDAS,INTERESES LP. OTRAS DEUDAS,Liability,,,No,,1719,,,,,,,,,,
17200,DEUDAS LP TRANSF.SUBV/DON/LEG,DEUDAS LP TRANSF.SUBV/DON/LEG,Liability,,,No,,1720,,,,,,,,,,
17300,PROVEEDORES INMOVILIZADO LP,PROVEEDORES INMOVILIZADO LP,Liability,,,No,,1730,,,,,,,,,,
17400,ACREED.ARRENDAM.FINANC. L.P.,ACREED.ARRENDAM.FINANC. L.P.,Liability,,,No,,1740,,,,,,,,,,
17409,INTERESES LP ACR.ARREND.FIN.,INTERESES LP ACR.ARREND.FIN.,Liability,,,No,,1740,,,,,,,,,,
17500,EFECTOS A PAGAR A LARGO PLAZO,EFECTOS A PAGAR A LARGO PLAZO,Liability,,,No,,1750,,,,,,,,,,
17600,PASIVOS DERIVADOS FINANC.LP,PASIVOS DERIVADOS FINANC.LP,Liability,,,No,,1760,,,,,,,,,,
17690,INTERESES LP PAS.DERIV.FIN.,INTERESES LP PAS.DERIV.FIN.,Liability,,,No,,1769,,,,,,,,,,
17700,OBLIGACIONES Y BONOS,OBLIGACIONES Y BONOS,Liability,,,No,,1770,,,,,,,,,,
17710,OBLIGAC. Y BONOS.CONTR.PRINC.,OBLIGAC. Y BONOS.CONTR.PRINC.,Liability,,,No,,1771,,,,,,,,,,
17900,DEUDAS REPR.OTROS VAL.NEGOC.,DEUDAS REPR.OTROS VAL.NEGOC.,Liability,,,No,,1790,,,,,,,,,,
17990,INTERESES LP OBL./OTROS V.NEG.,INTERESES LP OBL./OTROS V.NEG.,Liability,,,No,,1799,,,,,,,,,,
18000,FIANZAS RECIBIDAS A LP,FIANZAS RECIBIDAS A LP,Liability,,,No,,1800,,,,,,,,,,
18100,ANTIC.REC.VTAS PREST.SERV.LP,ANTIC.REC.VTAS PREST.SERV.LP,Liability,,,No,,1810,,,,,,,,,,
18130,ANTIC.REC.VTAS PR.SERV.LP GR,ANTIC.REC.VTAS PR.SERV.LP GR,Liability,,,No,,1813,,,,,,,,,,
18140,ANTIC.REC.VTAS PR.SERV.LP AS,ANTIC.REC.VTAS PR.SERV.LP AS,Liability,,,No,,1814,,,,,,,,,,
18150,ANTI.REC.VTAS PR.SERV.LP OPV,ANTI.REC.VTAS PR.SERV.LP OPV,Liability,,,No,,1815,,,,,,,,,,
18500,DEPOSITOS RECIBIDOS A LP,DEPOSITOS RECIBIDOS A LP,Liability,,,No,,1850,,,,,,,,,,
19000,ACCIONES O PART.EMITIDAS,ACCIONES O PART.EMITIDAS,Liability,,,No,,1900,,,,,,,,,,
19200,SUSCRIPTORES DE ACCIONES,SUSCRIPTORES DE ACCIONES,Liability,,,No,,1920,,,,,,,,,,
19230,SUSCRIPTORES ACCIONES(GRUPO),SUSCRIPTORES ACCIONES(GRUPO),Liability,,,No,,1923,,,,,,,,,,
19240,SUSCRIPTORES ACCIONES(ASOC),SUSCRIPTORES ACCIONES(ASOC),Liability,,,No,,1924,,,,,,,,,,
19250,SUSCRIPTORES ACCIONES(O.P.V),SUSCRIPTORES ACCIONES(O.P.V),Liability,,,No,,1925,,,,,,,,,,
19400,CAPITAL EMITIDO PDTE INSCRIP.,CAPITAL EMITIDO PDTE INSCRIP.,Liability,,,No,,1940,,,,,,,,,,
19500,ACC.PARTIC.EMIT.CONS.PAS.FIN.,ACC.PARTIC.EMIT.CONS.PAS.FIN.,Liability,,,No,,1950,,,,,,,,,,
19700,SUSCRIPTORES ACC.CONS.PAS.FIN.,SUSCRIPTORES ACC.CONS.PAS.FIN.,Liability,,,No,,1970,,,,,,,,,,
19730,SUSCRIP.ACC.CONS.PAS.FIN.GRUPO,SUSCRIP.ACC.CONS.PAS.FIN.GRUPO,Liability,,,No,,1973,,,,,,,,,,
19740,SUSCRIP.ACC.CONS.PAS.FIN.ASOC.,SUSCRIP.ACC.CONS.PAS.FIN.ASOC.,Liability,,,No,,1974,,,,,,,,,,
19750,SUSCRIP.ACC.CONS.PAS.FIN.O.P.V,SUSCRIP.ACC.CONS.PAS.FIN.O.P.V,Liability,,,No,,1975,,,,,,,,,,
19900,ACC.PART.EM.CONS.PAS.FIN.P.I.,ACC.PART.EM.CONS.PAS.FIN.P.I.,Liability,,,No,,1990,,,,,,,,,,
20000,INVESTIGACION II,INVESTIGACION II,Asset,,,No,,2000,,,,,,,,,,
20001,INVESTIGACION. EMPR.GR.Y ASOC. II,INVESTIGACION. EMPR.GR.Y ASOC. II,Asset,,,No,,2000,,,,,,,,,,
20002,INVESTIGACION. EXTRANJERO II,INVESTIGACION. EXTRANJERO II,Asset,,,No,,2000,,,,,,,,,,
20003,INVESTIGACION NO AFECTO ACTIV. II,INVESTIGACION NO AFECTO ACTIV. II,Asset,,,No,,2000,,,,,,,,,,
20100,DESARROLLO II,DESARROLLO II,Asset,,,No,,2010,,,,,,,,,,
20200,CONCESIONES ADMINISTRATIVAS II,CONCESIONES ADMINISTRATIVAS II,Asset,,,No,,2020,,,,,,,,,,
20201,CONCES.ADMTVAS.GRUP.Y ASOC. II,CONCES.ADMTVAS.GRUP.Y ASOC. II,Asset,,,No,,2020,,,,,,,,,,
20202,CONCESIONES ADMINISTRATIVAS II,CONCESIONES ADMINISTRATIVAS II,Asset,,,No,,2020,,,,,,,,,,
20203,CONCESIONES ADMINISTRATIVAS II,CONCESIONES ADMINISTRATIVAS II,Asset,,,No,,2020,,,,,,,,,,
20300,PROPIEDAD INDUSTRIAL II,PROPIEDAD INDUSTRIAL II,Asset,,,No,,2030,,,,,,,,,,
20301,PROPIEDAD INDUST. GRUP./ASOC. II,PROPIEDAD INDUST. GRUP./ASOC. II,Asset,,,No,,2030,,,,,,,,,,
20302,PROPIEDAD INDUST. EXTRANJERO II,PROPIEDAD INDUST. EXTRANJERO II,Asset,,,No,,2030,,,,,,,,,,
20303,PROPIEDAD INDUST. NO AFECTO II,PROPIEDAD INDUST. NO AFECTO II,Asset,,,No,,2030,,,,,,,,,,
20500,DERECHOS DE TRASPASO II,DERECHOS DE TRASPASO II,Asset,,,No,,2050,,,,,,,,,,
20501,DERECHOS DE TRASPASO. GR/AS. II,DERECHOS DE TRASPASO. GR/AS. II,Asset,,,No,,2050,,,,,,,,,,
20502,DERECHOS DE TRASP. EXTRANJ. II,DERECHOS DE TRASP. EXTRANJ. II,Asset,,,No,,2050,,,,,,,,,,
20503,DERECHOS DE TRASP. NO AFECTO II,DERECHOS DE TRASP. NO AFECTO II,Asset,,,No,,2050,,,,,,,,,,
20600,APLICACIONES INFORMATICAS II,APLICACIONES INFORMATICAS II,Asset,,,No,,2060,,,,,,,,,,
20601,APLICAC.INFORMAT..GRUP/ASOC. II,APLICAC.INFORMAT..GRUP/ASOC. II,Asset,,,No,,2060,,,,,,,,,,
20602,APLICAC.INFORMAT. EXTRANJERO II,APLICAC.INFORMAT. EXTRANJERO II,Asset,,,No,,2060,,,,,,,,,,
20603,APLICAC.INFORMAT. NO AFECTO II,APLICAC.INFORMAT. NO AFECTO II,Asset,,,No,,2060,,,,,,,,,,
20700,OTRO INMOVILIZADO INTANGIBLE II,OTRO INMOVILIZADO INTANGIBLE II,Asset,,,No,,2070,,,,,,,,,,
20701,OTRO INMOV.INTANG..GRUP/ASOC. II,OTRO INMOV.INTANG..GRUP/ASOC. II,Asset,,,No,,2070,,,,,,,,,,
20702,OTRO INMOV.INTANG.. EXTRANJERO II,OTRO INMOV.INTANG.. EXTRANJERO II,Asset,,,No,,2070,,,,,,,,,,
20703,OTRO INMOV.INTANG. NO AFECTO II,OTRO INMOV.INTANG. NO AFECTO II,Asset,,,No,,2070,,,,,,,,,,
20900,ANTICIPOS INMOV.INTANGIBLES II ,ANTICIPOS INMOV.INTANGIBLES II ,Asset,,,No,,2090,,,,,,,,,,
20901,ANTIC.INMOVIL.INTANG.GR./ASOC. II,ANTIC.INMOVIL.INTANG.GR./ASOC. II,Asset,,,No,,2090,,,,,,,,,,
20902,ANTIC.INMOVIL.INTANG. EXTRANJ. II,ANTIC.INMOVIL.INTANG. EXTRANJ. II,Asset,,,No,,2090,,,,,,,,,,
20903,ANTIC.INMOVIL.INTANG.NO AFECTO II,ANTIC.INMOVIL.INTANG.NO AFECTO II,Asset,,,No,,2090,,,,,,,,,,
21000,TERRENOS Y BIENES NATURALES,TERRENOS Y BIENES NATURALES,Asset,,,No,,2100,,,,,,,,,,
21001,TERRENOS Y BIENES NAT.GR/ASOC.,TERRENOS Y BIENES NAT.GR/ASOC.,Asset,,,No,,2100,,,,,,,,,,
21002,TERRENOS Y BIENES NAT. EXTRANJ.,TERRENOS Y BIENES NAT. EXTRANJ.,Asset,,,No,,2100,,,,,,,,,,
21003,TERRENOS Y BIENES NAT.NO AFECT.,TERRENOS Y BIENES NAT.NO AFECT.,Asset,,,No,,2100,,,,,,,,,,
21100,CONSTRUCCIONES,CONSTRUCCIONES,Asset,,,No,,2110,,,,,,,,,,
21101,CONSTRUCCIONES.GRUPO Y ASOC.,CONSTRUCCIONES.GRUPO Y ASOC.,Asset,,,No,,2110,,,,,,,,,,
21102,CONSTRUCCIONES. EXTRANJERO,CONSTRUCCIONES. EXTRANJERO,Asset,,,No,,2110,,,,,,,,,,
21103,CONSTRUCCIONES. NO AFECTO,CONSTRUCCIONES. NO AFECTO,Asset,,,No,,2110,,,,,,,,,,
21200,INSTALACIONES TECNICAS,INSTALACIONES TECNICAS,Asset,,,No,,2120,,,,,,,,,,
21201,INSTALAC.TECNICAS.GR. Y ASOC.,INSTALAC.TECNICAS.GR. Y ASOC.,Asset,,,No,,2120,,,,,,,,,,
21202,INSTALAC.TECNICAS. EXTRANJERO,INSTALAC.TECNICAS. EXTRANJERO,Asset,,,No,,2120,,,,,,,,,,
21203,INSTALAC.TECNICAS. NO AFECTO,INSTALAC.TECNICAS. NO AFECTO,Asset,,,No,,2120,,,,,,,,,,
21300,MAQUINARIA,MAQUINARIA,Asset,,,No,,2130,,,,,,,,,,
21301,MAQUINARIA. GRUPO Y ASOC.,MAQUINARIA. GRUPO Y ASOC.,Asset,,,No,,2130,,,,,,,,,,
21302,MAQUINARIA. EXTRANJERO,MAQUINARIA. EXTRANJERO,Asset,,,No,,2130,,,,,,,,,,
21303,MAQUINARIA. NO AFECTO,MAQUINARIA. NO AFECTO,Asset,,,No,,2130,,,,,,,,,,
21400,UTILLAJE,UTILLAJE,Asset,,,No,,2140,,,,,,,,,,
21401,UTILLAJE. GRUPO Y ASOC.,UTILLAJE. GRUPO Y ASOC.,Asset,,,No,,2140,,,,,,,,,,
21402,UTILLAJE. EXTRANJERO,UTILLAJE. EXTRANJERO,Asset,,,No,,2140,,,,,,,,,,
